name,generic_name,category,unit,description,side_effect,source_url
A-Methapred (Methylprednisolone Sodium Succinate),methylprednisolone sodium succinate,Corticosteroids,Dosage recommendations for A-Methapred vary for each individual. Talk to your doctor about your individual dosage recommendation.,"A-Methapred (methylprednisolone sodium succinate) is an anti-inflammatory steroid used to treat conditions such as arthritis, lupus, dermatitis, Steven's-Johnson Syndrome, asthma, eye inflammation, ulcerative colitis, leukemia, multiple sclerosis, and more. A-Methapred is available in generic form.","Common side effects of A-Methapred include: muscle weakness peptic ulcer slow wound healing thinning skin facial redness vertigo headache changes in menstrual cycle increased eye pressure nausea vomiting heartburn dizziness trouble sleeping appetite changes increased sweating acne fluid retention abdominal bloating high blood pressure injection site reactions (pain, redness, swelling)",https://www.rxlist.com/a-methapred-drug.htm
Abacavir and Lamivudine Film-coated Tablets (Kivexa),abacavir and lamivudine film-coated tablets,,The recommended dose of Kivexa tablets in adults and adolescents is one tablet once daily.,Kivexa (abacavir and lamivudine) is a combination of antiviral drugs called nucleoside analogues that is indicated in antiretroviral combination therapy for the treatment of Human Immunodeficiency Virus (HIV) infection in adults and adolescents from 12 years of age. Epzicom is the name for the drug equivalent in the U.S.,"Kivexa may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, dizziness, pale skin, unusual tiredness, weakness, shortness of breath, unusual bleeding, nosebleeds, easy bruising, blood in urine, coughing blood, bleeding gums, any bleeding that will not stop, poor concentration, changes in weight, decreased interest in activities, thoughts of self-harm, changes in sleep, fever, chills, sore throat, cough, nausea, vomiting, abdominal pain (upper left side), diarrhea, black or tarry stools, vomit that looks like coffee grounds, any rash (no matter how minor), a rash with blistering or peeling, back pain, rapid heartbeat, swelling of the abdomen, dizziness, rapid heart rate, and rapid or shallow breathing Get medical help right away, if you have any of the symptoms listed above. Common side effects of Kivexa include: hypersensitivity reactions (fever and/or rash), nausea, vomiting, diarrhea, abdominal pain, mouth sores, shortness of breath, cough, sore throat, fever, fatigue, feeling unwell (malaise), headache, elevated liver function tests, and muscle pain Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/kivexa-drug.htm
Abacavir Sulfate (Ziagen),abacavir sulfate,"HIV, NNRTIs, Antiretroviral Agents","The recommended oral dose of Ziagen for adults is 600 mg daily, administered as either 300 mg twice daily or 600 mg once daily, in combination with other antiretroviral agents. Pediatric dose is deter","Ziagen (abacavir sulfate) is an antiviral medication used to treat HIV, which causes the acquired immunodeficiency syndrome (AIDS). Ziagen is not a cure for HIV or AIDS.","Common side effects of Ziagen include: trouble sleeping, loss of appetite, strange dreams, headache, ear pain, cold symptoms (stuffy nose, sneezing, sinus pain), or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and trunk). Tell your doctor if you have any serious side effects of Ziagen including: unexplained weight loss, persistent muscle aches or weakness, joint pain, numbness or tingling of the hands/feet/arms/legs, severe tiredness, vision changes, severe or persistent headaches, signs of infection (such as fever, chills, trouble breathing, cough, non-healing skin sores), signs of an overactive thyroid (such as irritability, nervousness, heat intolerance, fast/pounding/irregular heartbeat, bulging eyes, unusual growth in the neck/thyroid known as a goiter), signs of a certain nerve problem known as Guillain-Barre Syndrome (such as difficulty breathing/swallowing/moving your eyes, drooping face, paralysis, slurred speech), or mental/mood changes (depression, anxiety).",https://www.rxlist.com/ziagen-drug.htm
Abacavir Sulfate and Lamivudine Tablets (Epzicom),abacavir sulfate and lamivudine tablets,"HIV, NNRTIs, HIV, ART Combos","The recommended oral dose of Epzicom for adults is one tablet daily, in combination with other antiretroviral agents.","Epzicom (abacavir sulfate and lamivudine) is a type of antiviral medication called a reverse transcriptase inhibitor used to treat HIV, which causes the acquired immunodeficiency syndrome (AIDS). Epzicom is not a cure for HIV or AIDS.","Common side effects of Epzicom include: headache, nausea, diarrhea, dizziness, tiredness, trouble sleeping, strange dreams, depression, anxiety, or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and trunk). Tell your doctor if you have serious side effects of Epzicom including: unexplained weight loss, persistent muscle aches or weakness, joint pain, numbness or tingling of the hands/feet/arms/legs, severe tiredness, vision changes, severe or persistent headaches, signs of infection (such as fever, chills, trouble breathing, cough, non-healing skin sores), signs of an overactive thyroid (such as irritability, nervousness, heat intolerance, fast/pounding/irregular heartbeat, bulging eyes, unusual growth in the neck/thyroid known as a goiter), signs of a certain nerve problem known as Guillain-Barre Syndrome (such as difficulty breathing/swallowing/moving your eyes, drooping face, paralysis, slurred speech), mental/mood changes (such as depression, anxiety), easy bruising or bleeding, or signs of anemia (such as unusual tiredness, fast breathing, pale skin, fast heartbeat). Epzicom may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, unexplained weight loss, severe tiredness, muscle aches, weakness, severe headaches, joint pain, numbness or tingling of the hands, feet, arms, legs, vision changes, fever, chills, swollen lymph nodes, cough, non-healing skin sores, irritability, nervousness, heat intolerance, fast, pounding, or irregular heartbeat, bulging eyes, unusual growth in the neck or thyroid (goiter), trouble swallowing, difficulty moving your eyes, drooping face, paralysis, difficulty speaking, mental or mood changes, depression, anxiety, easy bruising, unusual bleeding, unusual tiredness, fast breathing, pale skin, nausea, vomiting, stomach pain, back pain, fever, loss of appetite, yellowing of the eyes and skin (jaundice), dark urine, deep or rapid breathing, and drowsiness",https://www.rxlist.com/epzicom-drug.htm
"Abacavir Sulfate, Lamivudine, and Zidovudine (Trizivir)","abacavir sulfate, lamivudine, and zidovudine","HIV, NNRTIs, HIV, ART Combos",The recommended oral dose of Trizivir is one tablet twice daily.,"Trizivir (abacavir sulfate, lamivudine, and zidovudine) is a type of antiviral medication called a reverse transcriptase inhibitor used to treat HIV, which causes the acquired immunodeficiency syndrome (AIDS). Trizivir is not a cure for HIV or AIDS.","Common side effects of Trizivir include: headache, tiredness, weakness, nausea, vomiting, loss of appetite, diarrhea, dizziness, trouble sleeping, joint pain, depression, nervousness, cold symptoms (stuffy nose, sneezing, sinus pain), or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and trunk). Tell your doctor if you have serious side effects of Trizivir including: unexplained weight loss, persistent muscle aches or weakness, joint pain, numbness or tingling of the hands/feet/arms/legs, severe tiredness, vision changes, severe or persistent headaches, signs of infection (such as fever, chills, trouble breathing, cough, non-healing skin sores), signs of an overactive thyroid (such as irritability, nervousness, heat intolerance, fast/pounding/irregular heartbeat, bulging eyes, unusual growth in the neck/thyroid known as a goiter), signs of a certain nerve problem known as Guillain-Barre Syndrome (such as difficulty breathing/swallowing/moving your eyes, drooping face, paralysis, slurred speech), mental/mood changes (such as depression, anxiety), easy bruising or bleeding, or skin and nail color changes. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.",https://www.rxlist.com/trizivir-drug.htm
"Abacavir, Dolutegravir, and Lamivudine Film-coated Tablets (Triumeq)","abacavir, dolutegravir, and lamivudine film-coated tablets","HIV, ART Combos",The adult dose of Triumeq is one tablet daily.,"Triumeq (abacavir, dolutegravir, and lamivudine) is a combination of an integrase strand transfer inhibitor (INSTI) and two nucleoside analogues used to treat human immunodeficiency virus type 1 (HIV1) infection.","Triumeq may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, fever, rash, nausea, vomiting, diarrhea, stomach pain, general ill feeling, extreme tiredness, body aches, shortness of breath, cough, sore throat, unusual muscle pain, trouble breathing, stomach pain, irregular heart rate, dizziness, feeling cold, weakness, tiredness, swelling around your midsection, right-sided upper stomach pain, loss of appetite, dark urine, clay-colored stools, yellowing of the skin or eyes (jaundice), chest pain or pressure, pain spreading to your jaw or shoulder, and sweating Get medical help right away, if you have any of the symptoms listed above. Common side effects of Triumeq include: insomnia, headache, fatigue, diarrhea, nausea, vomiting, fever, loss of appetite, low energy, nightmares or abnormal dreams, abnormal body fat distribution, numbness and tingling, hypersensitivity reactions (fever, rash, shortness of breath, cough, or sore throat), joint pain or swelling, muscle pain, extremity swelling, depression, dizziness, and spinning sensation (vertigo). Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/triumeq-drug.htm
Abaloparatide Injection (Tymlos),abaloparatide injection,Parathyroid Hormone Analogs,The recommended dose of Tymlos is 80 mcg subcutaneously once daily; patients should receive supplemental calcium and vitamin D if dietary intake is inadequate.,Tymlos (abaloparatide) injection is a human parathyroid hormone related peptide [PTHrP(1-34)] analog indicated for the treatment of postmenopausal women with osteoporosis at high risk for fracture.,"Tymlos may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, nausea, and palpitations Get medical help right away, if you have any of the symptoms listed above. Common side effects of Tymlos include: high calcium levels in the urine (hypercalciuria), dizziness, nausea, headache, palpitations, fatigue, upper abdominal pain and spinning sensation (vertigo). Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/tymlos-drug.htm
Abametapir Lotion (Xeglyze),abametapir lotion,Topical Pediculicide,Apply Xeglyze to dry hair in an amount sufficient (up to the full content of one bottle) to thoroughly coat the hair and scalp. Avoid contact with eyes. Massage Xeglyze into the scalp and throughout t,"Xeglyze (abametapir) is a pediculicide indicated for the topical treatment of head lice infestation in patients 6 months of age and older. Xeglyze should be used in the context of an overall lice management program: Wash (with hot water) or dry-clean all recently worn clothing, hats, used bedding and towel; wash personal care items such as combs, brushes and hair clips in hot water; and use a fine-tooth comb or special nit comb to remove dead lice and nits.","Side effects of Xeglyze include: skin redness, rash, skin burning sensation, contact dermatitis, vomiting, eye irritation, itching, and hair color changes Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/xeglyze-drug.htm
Abarelix (Plenaxis),abarelix,Gonadotropin Releasing Hormone Antagonists,The recommended dose of Plenaxis is 100 mg administered intramuscularly to the buttock on Day 1 15 29 (week 4) and every 4 weeks thereafter.,Plenaxis (abarelix) for Injectable Suspension inhibits gonadotropin releasing-hormone (GnRH) and is used in the palliative treatment of advanced prostate cancer. The brand name Plenaxis is discontinued but generic versions may be available.,"Common side effects of Plenaxis (abarelix) include: hot flashes sleep disturbances breast enlargement or pain nipple tenderness diarrhea or constipation swelling of extremities nausea dizziness headache fatigue changes with or difficulty urinating urinary tract infection or upper respiratory tract infection. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/plenaxis-drug.htm
Abatacept (Orencia),abatacept,"DMARDs, Immunomodulators, Immunosuppressants",Orencia is supplied in single use vials at a strength of 250mg per vial. Orencia is administered intravenously (IV) as a 30-minute infusion. Dosing is based on the patient's weight. Following the init,Orencia (abatacept) is a recombinant DNA generated fusion protein used to treat the symptoms of rheumatoid arthritis and to prevent joint damage caused by these conditions. Orencia is also used to treat arthritis in children who are at least 6 years old. Orencia is not a cure for any autoimmune disorder and only treats symptoms.,"Orencia may cause serious side effects including: fever, chills, night sweats, flu symptoms, weight loss, feeling very tired, dry cough, sore throat, warmth, pain or redness of your skin trouble breathing, stabbing chest pain, wheezing, cough with yellow or green mucus, pain or burning when you urinate, and signs of skin infection such as itching, swelling, warmth, redness, or oozing Get medical help right away, if you have any of the symptoms listed above. Common side effects of Orencia include: headache, nausea, diarrhea, stomach pain, indigestion, dizziness, flushing, back pain, or cold symptoms such as stuffy head/nose, sneezing, sore throat, or cough. Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/orencia-drug.htm
